dish_name,price,restaurant_id
Caesar Salad,6.11,SGDD04944
Grilled Chicken Chop,4.15,SGDD04944
Original Fried Chicken,5.09,SGDD04944
Mushroom Soup,6.53,SGDD04944
Korean Fried Chicken,4.13,SGDD04944
Honey Glazed Wings,4.99,SGDD04944
Beef Steak,7.25,SGDD04944
Fish & Chips,6.72,SGDD04944
Crispy Chicken Burger,5.1,SGDD04944
Spicy Fried Chicken,6.95,SGDD04944
Grilled Chicken Chop,10.04,SGDD11414
Roast Lamb Rack,9.87,SGDD11414
Carrot Cake,9.75,SGDD11414
Grilled Cheese Sandwich,9.12,SGDD11414
Mushroom Soup,7.35,SGDD11414
Beef Steak,10.68,SGDD11414
Caesar Salad,8.0,SGDD11414
Club Sandwich,14.38,SGDD11414
Fish & Chips,7.63,SGDD11414
Espresso,9.35,SGDD11414
Spicy Peanut Noodles,13.18,4-C8A2MANGA75WRX
Sesame Noodles,14.88,4-C8A2MANGA75WRX
Boiled Dumplings,13.84,4-C8A2MANGA75WRX
Siew Mai Pork Dumplings,13.93,4-C8A2MANGA75WRX
Hand-Pulled Noodles,10.04,4-C8A2MANGA75WRX
Char Siew Rice,10.63,4-C8A2MANGA75WRX
Steamed Fish,13.67,4-C8A2MANGA75WRX
Kung Pao Chicken,8.3,4-C8A2MANGA75WRX
Sweet & Sour Pork,9.84,4-C8A2MANGA75WRX
Hot & Sour Soup,12.36,4-C8A2MANGA75WRX
Nasi Lemak,9.16,4-C2B1RVCEGEEDJA
Char Kway Teow,14.4,4-C2B1RVCEGEEDJA
Roti Canai,12.51,4-C2B1RVCEGEEDJA
Satay Skewers,8.76,4-C2B1RVCEGEEDJA
House Signature Dish,9.59,4-C2B1RVCEGEEDJA
Daily Special Set,13.15,4-C2B1RVCEGEEDJA
Today's Recommendation,7.45,4-C2B1RVCEGEEDJA
Daily Special Set (Set 2),13.57,4-C2B1RVCEGEEDJA
Satay Skewers (Set 2),13.44,4-C2B1RVCEGEEDJA
Roti Canai (Set 2),10.21,4-C2B1RVCEGEEDJA
Jasmine Green Tea,8.69,4-C62TNYNCJTMJTX
Oolong Tea,14.54,4-C62TNYNCJTMJTX
Earl Grey Tea,14.01,4-C62TNYNCJTMJTX
Classic Milk Tea,9.52,4-C62TNYNCJTMJTX
Brown Sugar Boba Milk Tea,12.24,4-C62TNYNCJTMJTX
Taro Milk Tea,10.17,4-C62TNYNCJTMJTX
Fresh Lime Juice,14.32,4-C62TNYNCJTMJTX
Iced Lemon Tea,10.67,4-C62TNYNCJTMJTX
Sugarcane Juice,9.12,4-C62TNYNCJTMJTX
House Signature Dish,8.97,4-C62TNYNCJTMJTX
Cinnamon Roll,20.4,4-C7MAV23DLKXVVN
Iced Latte,24.34,4-C7MAV23DLKXVVN
Carrot Cake,25.92,4-C7MAV23DLKXVVN
Butter Croissant,15.29,4-C7MAV23DLKXVVN
Espresso,15.4,4-C7MAV23DLKXVVN
Flat White,23.21,4-C7MAV23DLKXVVN
Roast Lamb Rack,21.95,4-C7MAV23DLKXVVN
Caesar Salad,18.77,4-C7MAV23DLKXVVN
Beef Steak,21.94,4-C7MAV23DLKXVVN
Garlic Bread,20.02,4-C7MAV23DLKXVVN
Kaya Toast,12.44,SGDD08530
French Toast,7.92,SGDD08530
Cheese Toast,14.08,SGDD08530
Flat White,13.01,SGDD08530
Cappuccino,13.15,SGDD08530
Iced Latte,9.72,SGDD08530
Espresso,9.35,SGDD08530
Kaya Toast (Set 2),8.27,SGDD08530
Cappuccino (Set 2),7.03,SGDD08530
Chef's Special Combo,12.78,SGDD08530
Flat White,7.81,4-C7LZPGDVJNCTN2
Kaya Toast,6.7,4-C7LZPGDVJNCTN2
